"Asignacion_ID","Metadata_Tipo","Objeto","Componente_API","Aplicacion","Perfil","Perfil_Referencia","RecordType","FormFactor","Tipo_Asignacion","Asignado","Aplica_PEKING","Exclusivo_Usados","Fuente_Evidencia","Nivel_Confianza","Limitacion","Accion_Potencial","Notas"
"UIV2-01259","Layout","Account","Account-Account Layout","","Product Consumed Profile","Product Consumed Profile","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01260","Layout","Account","Account-Account Layout","","Encuestas Red Motors Perfil","Encuestas Red Motors Perfil","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01261","Layout","Account","Account-Account Layout","","Guest License User","Guest License User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01262","Layout","Account","Account-Account Layout","","Altica Perfil","Altica Perfil","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01263","Layout","Account","Account-Account Layout","","RedMotors Perfil","RedMotors Perfil","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01264","Layout","Account","Account-Account Layout","","Actualización Clientes Perfil","Actualización Clientes Perfil","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01265","Layout","Account","Account-Account Layout","","Chatter External User","Chatter External User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01266","Layout","Account","Account-Account Layout","","Chatter Moderator User","Chatter Moderator User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01267","Layout","Account","Account-Account Layout","","Chatter Free User","Chatter Free User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01268","Layout","Account","Account-Account Layout","","Acceso de MINI - BMW","Acceso de MINI - BMW","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01269","Layout","Account","Account-Account Layout","","Sales Insights Integration User","Sales Insights Integration User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01270","Layout","Account","Account-Account Layout","","Asesor de Ventas Multimarca Motos con Usados","Asesor de Ventas Multimarca Motos con Usados","Distribuidor","","ProfileLayout","SI","No","Sí","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01271","Layout","Account","Account-Account Layout","","Jefe de Sucursal BMW Uruca","Jefe de Sucursal BMW Uruca","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01272","Layout","Account","Account-Account Layout","","Jefatura TI","Jefatura TI","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01273","Layout","Account","Account-Account Layout","","Solo Motos","Solo Motos","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01274","Layout","Account","Account-Account Layout","","Identity User","Identity User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01275","Layout","Account","Account-Account Layout","","Asesor de Servicio ES  PV","Asesor de Servicio ES  PV","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01276","Layout","Account","Account-Account Layout","","Analytics Cloud Integration User","Analytics Cloud Integration User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01277","Layout","Account","Account-Account Layout","","Analytics Cloud Security User","Analytics Cloud Security User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01278","Layout","Account","Account-Account Layout","","ZZadmin FIELD SERVICE zz","ZZadmin FIELD SERVICE zz","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01279","Layout","Account","Account-RM Lider Taller - RO","","Mecanico Lider","Mecanico Lider","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01280","Layout","Account","Account-Account Layout","","Jefe de ventas","Jefe de ventas","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01281","Layout","Account","Account-Account Layout","","Gerente de Taller","Gerente de Taller","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01282","Layout","Account","Account-Account Layout","","Garantías","Garantías","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01283","Layout","Account","Account-Account Layout","","Field Service Optimization","Field Service Optimization","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01284","Layout","Account","Account-Account Layout","","Dispatcher-Asesor","Dispatcher-Asesor","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01285","Layout","Account","Account-Account Layout","","Dispatcher","Dispatcher","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01286","Layout","Account","Account-Account Layout","","Asesor","Asesor","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01287","Layout","Account","Account-Account Layout","","Administrador de Sistema","Administrador de Sistema","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01288","Layout","Account","Account-Account Layout","","Asesor de Ventas Online BMW","Asesor de Ventas Online BMW","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01289","Layout","Account","Account-Account Layout","","Jefe de Ventas Usados Motos","Jefe de Ventas Usados Motos","Distribuidor","","ProfileLayout","SI","No","Sí","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01290","Layout","Account","Account-Account Layout","","Jefe de Ventas Usados Autos","Jefe de Ventas Usados Autos","Distribuidor","","ProfileLayout","SI","No","Sí","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01291","Layout","Account","Account-Account Layout","","Jefe de Ventas Multimarca","Jefe de Ventas Multimarca","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01292","Layout","Account","Account-Account Layout","","Jefe de Ventas MOTORRAD","Jefe de Ventas MOTORRAD","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01293","Layout","Account","Account-Account Layout","","Jefe de Ventas MINI","Jefe de Ventas MINI","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01294","Layout","Account","Account-Account Layout","","Jefe de Sucursal BMW Escazú","Jefe de Sucursal BMW Escazú","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01295","Layout","Account","Account-Account Layout","","Gerente de ventas BMW","Gerente de ventas BMW","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01296","Layout","Account","Account-Account Layout","","Gerente de Mercadeo","Gerente de Mercadeo","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01297","Layout","Account","Account-Account Layout","","Gerente Comercial Motocicletas","Gerente Comercial Motocicletas","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01298","Layout","Account","Account-Account Layout","","Gerente Altica","Gerente Altica","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01299","Layout","Account","Account-Account Layout","","Asesor de Ventas POLARIS","Asesor de Ventas POLARIS","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01300","Layout","Account","Account-Account Layout","","Asesor de Ventas Multimarca Motos","Asesor de Ventas Multimarca Motos","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01301","Layout","Account","Account-Account Layout","","Asesor de Ventas Motorrad","Asesor de Ventas Motorrad","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01302","Layout","Account","Account-Account Layout","","Asesor de Ventas MINI","Asesor de Ventas MINI","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01303","Layout","Account","Account-Account Layout","","Asesor de Ventas KTM","Asesor de Ventas KTM","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01304","Layout","Account","Account-Account Layout","","Asesor de Ventas BMW","Asesor de Ventas BMW","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01305","Layout","Account","Account-Account Layout","","Administrador del sistema - Custom","Administrador del sistema - Custom","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01306","Layout","Account","Account-Account Layout","","Repuestos 1","Repuestos 1","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01307","Layout","Account","Account-Account Layout","","Repuestos","Repuestos","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01308","Layout","Account","Account-Account Layout","","API Only","API Only","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01309","Layout","Account","Account-Account Layout","","Asistente de Usados","Asistente de Usados","Distribuidor","","ProfileLayout","SI","No","Sí","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01310","Layout","Account","Account-Account Layout","","Standard Platform User","Standard Platform User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01311","Layout","Account","Account-Account Layout","","Jefe de Ventas HARLEY","Jefe de Ventas HARLEY","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01312","Layout","Account","Account-Account Layout","","Jefe de Ventas Kawasaki","Jefe de Ventas Kawasaki","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01313","Layout","Account","Account-Account Layout","","Asesor de Ventas Harley Davidson","Asesor de Ventas Harley Davidson","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01314","Layout","Account","Account-Account Layout","","Jefe de Ventas BMW","Jefe de Ventas BMW","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01315","Layout","Account","Account-Account Layout","","Altica Usuario Senior","Altica Usuario Senior","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01316","Layout","Account","Account-Account Layout","","Altica Usuario  Junior","Altica Usuario  Junior","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01317","Layout","Account","Account-Account Layout","","Contract Manager","Contract Manager","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01318","Layout","Account","Account-Account Layout","","Marketing User","Marketing User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01319","Layout","Account","Account-Account Layout","","Solution Manager","Solution Manager","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01320","Layout","Account","Account-Account Layout","","Read Only","Read Only","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01321","Layout","Account","Account-Account Layout","","Standard User","Standard User","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01322","Layout","Account","Account-Account Layout","","System Administrator","System Administrator [PROFILE_REFERENCE_001]","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01323","Layout","Account","Account-BMW Cuenta Empresarial","","Creadores de citas","Creadores de citas","Cliente Jurídico","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01324","Layout","Account","Account-BMW Cuenta Empresarial","","Creadores de citas","Creadores de citas","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01325","Layout","Account","Account-BMW Cuenta Empresarial","","Creadores de citas","Creadores de citas","Taller","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01326","Layout","Account","Account-Account Layout","","Creadores de citas","Creadores de citas","Distribuidor","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-01327","Layout","Account","Account-BMW Cuenta Empresarial","","Creadores de citas","Creadores de citas","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
